	022um-Control	20210602-MA-ABB1F	20210602-MA-ABB1P	20210602-MA-ABB1W	20210602-MA-ABS1F	20210602-MA-ABS1P	20210602-MA-ABS1W	20210602-MA-CEB1F	20210602-MA-CEB1P	20210602-MA-CEB1W	20210602-MA-CES1F	20210602-MA-CES1P	20210602-MA-CES1W	20210602-MA-CWB1F	20210602-MA-CWB1P	20210602-MA-CWB1W	20210602-MA-CWS1F	20210602-MA-CWS1P	20210602-MA-CWS1W	20210602-MA-MBB1F	20210602-MA-MBB1P	20210602-MA-MBB1W	20210602-MA-MBS1F	20210602-MA-MBS1P	20210602-MA-MBS1W	20210602-MA-SCB1F	20210602-MA-SCB1P	20210602-MA-SCB1W	20210602-MA-SCS1F	20210602-MA-SCS1P	20210602-MA-SCS1W	20210615-MA-ABB2F	20210615-MA-ABB2P	20210615-MA-ABB2W	20210615-MA-ABS1F	20210615-MA-ABS1P	20210615-MA-ABS1W	20210615-MA-CEB1F	20210615-MA-CEB1P	20210615-MA-CEB1W	20210615-MA-CES1F	20210615-MA-CES1P	20210615-MA-CES1W	20210615-MA-CWB1F	20210615-MA-CWB1P	20210615-MA-CWB1W	20210615-MA-CWS1F	20210615-MA-CWS1P	20210615-MA-CWS1W	20210615-MA-MBB1F	20210615-MA-MBB1P	20210615-MA-MBB1W	20210615-MA-MBS1F	20210615-MA-MBS1P	20210615-MA-MBS1W	20210615-MA-SCB2F	20210615-MA-SCB2P	20210615-MA-SCB2W	20210615-MA-SCS2F	20210615-MA-SCS2P	20210615-MA-SCS2W	20211005-MA-ABB2F	20211005-MA-ABB2P	20211005-MA-ABB2W	20211005-MA-ABS1F	20211005-MA-ABS1P	20211005-MA-ABS1W	20211005-MA-CEB1F	20211005-MA-CEB1P	20211005-MA-CEB1W	20211005-MA-CES2F	20211005-MA-CES2P	20211005-MA-CES2W	20211005-MA-CWB1F	20211005-MA-CWB1P	20211005-MA-CWB1W	20211005-MA-CWS1F	20211005-MA-CWS1P	20211005-MA-CWS1W	20211005-MA-MBB1F	20211005-MA-MBB1P	20211005-MA-MBB1W	20211005-MA-MBS1F	20211005-MA-MBS1P	20211005-MA-MBS1W	20211005-MA-SCB1F	20211005-MA-SCB1P	20211005-MA-SCB1W	20211005-MA-SCS2F	20211005-MA-SCS2P	20211005-MA-SCS2W	3um-Control	CJ-V08-P	DNA-Ext-Control	MockZymoPos	WaterControl
ASV_11	0	41	37	87	45	27	76	143	0	156	101	10	93	83	87	110	20	0	26	111	15	77	83	60	76	18	0	13	40	0	20	71	5	133	100	43	121	135	61	116	153	56	155	151	192	162	178	135	168	100	60	70	61	63	84	0	0	0	0	0	0	101	14	113	77	19	62	75	37	106	167	27	68	37	25	21	64	20	29	148	55	129	125	48	139	0	0	43	0	0	0	0	0	0	0	0
ASV_12	0	113	93	155	151	141	161	62	81	59	0	0	0	0	0	0	0	0	0	163	67	130	199	53	162	305	146	312	325	165	246	0	0	112	54	36	47	0	0	0	0	0	0	0	0	0	0	0	0	98	51	84	75	41	99	0	111	242	317	48	343	36	0	26	27	0	30	39	24	67	0	0	0	0	0	0	0	0	0	61	40	74	45	32	83	72	49	17	55	48	72	0	0	0	0	0
ASV_13	0	20	22	64	48	21	58	73	0	147	63	21	60	78	75	107	9	0	13	61	9	30	25	32	43	16	0	14	15	6	7	6	8	99	79	32	78	132	91	138	166	67	168	163	180	147	168	123	171	105	65	78	48	45	84	0	0	0	0	0	0	91	12	79	81	14	100	64	50	105	227	26	65	55	28	26	57	21	34	129	85	147	116	47	177	10	0	43	0	0	0	0	0	0	0	0
ASV_14	0	23	0	21	0	14	0	14	0	0	28	87	42	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	79	126	65	186	37	31	33	41	47	85	32	51	178	146	136	191	211	0	0	0	0	0	0	0	0	0	0	0	0	158	399	187	100	313	144	52	137	55	264	612	233	0	36	22	24	35	0	43	200	94	67	105	53	0	0	0	0	0	0	0	0	0	0	0
ASV_15	0	0	0	0	0	47	0	0	0	0	94	494	127	0	0	0	0	0	0	79	79	66	0	77	46	0	0	0	0	59	0	0	222	197	0	147	0	0	82	58	0	94	0	0	57	76	0	0	0	0	77	0	0	82	0	0	0	0	0	0	0	113	315	134	72	215	98	0	121	50	102	256	85	0	0	0	0	82	41	113	376	174	114	200	114	0	0	112	0	0	0	0	0	0	0	0
ASV_16	0	40	65	73	42	23	62	45	172	67	28	0	11	8	0	8	0	0	0	120	57	87	97	72	102	110	70	122	252	51	75	0	0	97	65	21	60	32	16	6	17	8	14	0	0	0	0	0	0	91	35	57	38	32	43	0	208	273	213	142	159	49	20	60	48	0	47	42	37	57	26	7	13	0	0	0	0	0	0	56	18	43	49	16	40	202	158	41	221	116	178	0	12	0	0	0
ASV_17	0	36	39	89	66	40	80	119	0	176	140	22	90	55	71	89	6	3	11	93	26	69	91	35	82	0	0	0	36	0	0	0	9	161	133	53	144	172	91	119	153	53	115	108	118	69	105	92	102	158	96	120	97	91	145	0	0	0	0	0	0	71	13	66	52	15	73	63	34	91	63	0	48	9	0	0	0	0	0	72	50	59	57	28	67	0	0	43	0	0	0	0	0	0	0	0
ASV_18	0	52	53	126	85	27	75	86	19	137	90	9	66	71	77	82	2	2	0	89	21	83	100	30	99	85	27	59	133	21	38	0	9	64	37	22	57	92	52	66	65	33	64	62	90	68	78	54	41	54	36	41	35	25	37	0	13	9	4	0	4	53	22	71	42	5	46	87	52	90	121	36	73	3	7	8	9	4	2	155	41	162	95	29	145	28	13	50	13	20	12	0	6	0	0	0
ASV_19	0	0	6	16	18	19	12	36	0	40	32	38	0	24	32	18	0	0	0	40	26	34	40	15	30	0	0	0	5	0	0	63	60	94	49	71	25	64	96	132	34	55	37	124	225	202	66	62	127	42	24	32	41	22	26	0	7	0	0	17	0	145	216	145	124	86	140	54	81	53	101	136	84	0	17	18	0	15	0	48	110	131	96	75	80	0	0	203	2	0	0	0	0	0	0	0
ASV_20	0	54	41	110	91	44	80	97	0	138	55	20	56	70	84	94	49	28	51	130	42	88	91	29	71	19	5	12	24	0	22	0	0	81	81	35	83	62	49	74	98	38	65	44	78	42	73	52	69	105	56	67	101	61	124	0	0	0	0	10	0	58	0	90	53	17	75	47	21	53	46	13	25	23	17	17	30	11	19	85	47	106	68	37	80	0	0	37	0	0	0	0	0	20	0	0
